year,positive,negative
2557,3.0,-3.0
2559,5.0,0.0
2560,1.0,0.0
2561,2.0,-1.0
2562,13.0,-6.0
2563,5.0,0.0
2564,1.0,-3.0
2565,5.0,-1.0
2555,0.0,-4.0
2556,0.0,-5.0
