id,groups,sub_categories,categories,person,keyword,count,total_event,period_1_plus,period_1_minus,period_1_total,period_2_plus,period_2_minus,period_2_total,period_1_plus_percentage,period_1_minus_percentage,period_2_plus_percentage,period_2_minus_percentage
288,คนเบื้องหลังพรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ทักษิณ ชินวัตร,"ทักษิณ ชินวัตร , แม้ว , นช.แม้ว , โทนี่ , พี่โทนี่",253,253,66,-150,216,26,-11,37,30.555555555555557,69.44444444444444,70.27027027027027,29.72972972972973
93,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อภิสิทธิ์ เวชชาชีวะ,"อภิสิทธิ์ , มาร์ค , หล่อใหญ่",219,219,47,-126,173,16,-30,46,27.167630057803464,72.83236994219652,34.78260869565217,65.21739130434783
31,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก ประวิตร วงษ์สุวรรณ,"ประวิตร , บิ๊กป้อม , ปิ๊กป้อม , ลุงป้อม , ป้อม",207,207,0,-1,1,180,-26,206,0.0,100.0,87.37864077669903,12.62135922330097
34,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุทิน ชาญวีรกูล,"อนุทิน , เสี่ยหนู , หมอหนู",116,116,2,-5,7,92,-17,109,28.57142857142857,71.42857142857143,84.40366972477065,15.59633027522936
116,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุทิน ชาญวีรกูล,"อนุทิน , เสี่ยหนู , หมอหนู",116,116,2,-5,7,92,-17,109,28.57142857142857,71.42857142857143,84.40366972477065,15.59633027522936
139,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ธนาธร จึงรุ่งเรืองกิจ,"ธนาธร , ตี๋เนรคุณ , พ่อของฟ้า , พ่อน้องฟ้า , ทอน",88,88,0,0,0,48,-40,88,0.0,0.0,54.54545454545454,45.45454545454545
33,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิษณุ เครืองาม,"วิษณุ , รองฯ วิษณุ",85,85,0,0,0,79,-6,85,0.0,0.0,92.94117647058823,7.0588235294117645
266,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคชาติไทยพัฒนา,"ชาติไทยพัฒนา , ชทพ.",81,81,19,-10,29,39,-13,52,65.51724137931035,34.48275862068966,75.0,25.0
249,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก อภิรัชต์ คงสมพงษ์,"อภิรัชต์ , พล.อ.อภิรัชต์ , บิ๊กแดง , ลูกบิ๊กจ๊อด",67,67,0,-1,1,60,-6,66,0.0,100.0,90.9090909090909,9.090909090909092
114,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ธนกร วังบุญคงชนะ,ธนกร,66,66,0,0,0,64,-2,66,0.0,0.0,96.96969696969697,3.0303030303030303
165,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สิระ เจนจาคะ,สิระ,51,51,0,0,0,40,-11,51,0.0,0.0,78.43137254901961,21.568627450980394
94,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชวน หลีกภัย,"ชวน , ปธ.ชวน",44,44,2,-10,12,20,-12,32,16.666666666666664,83.33333333333334,62.5,37.5
35,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์,40,40,0,-5,5,24,-11,35,0.0,100.0,68.57142857142857,31.428571428571427
96,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์,40,40,0,-5,5,24,-11,35,0.0,100.0,68.57142857142857,31.428571428571427
51,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ร้อยเอก ธรรมนัส พรหมเผ่า,"ธรรมนัส , ผู้กองนัส",39,39,0,0,0,20,-19,39,0.0,0.0,51.28205128205128,48.717948717948715
196,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ร้อยเอก ธรรมนัส พรหมเผ่า,"ธรรมนัส , ผู้กองนัส",39,39,0,0,0,20,-19,39,0.0,0.0,51.28205128205128,48.717948717948715
205,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ร้อยเอก ธรรมนัส พรหมเผ่า,"ธรรมนัส , ผู้กองนัส",39,39,0,0,0,20,-19,39,0.0,0.0,51.28205128205128,48.717948717948715
140,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ปิยบุตร แสงกนกกุล,"ปิยบุตร , กะปิบูด , บูด",34,34,0,0,0,10,-24,34,0.0,0.0,29.411764705882355,70.58823529411765
123,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,"เสรีพิศุทธ์ , ป๊าเสรี , วีรบุรุษนาแก",33,33,0,0,0,12,-21,33,0.0,0.0,36.36363636363637,63.63636363636363
61,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สนธิรัตน์ สนธิจิรวงศ์,สนธิรัตน์,30,30,0,0,0,24,-6,30,0.0,0.0,80.0,20.0
275,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเสรีรวมไทย,เสรีรวมไทย,22,22,0,0,0,4,-18,22,0.0,0.0,18.181818181818183,81.81818181818183
41,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อุตตม สาวนายน,อุตตม,20,20,0,0,0,13,-7,20,0.0,0.0,65.0,35.0
229,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ปารีณา ไกรคุปต์,ปารีณา,20,20,0,0,0,8,-12,20,0.0,0.0,40.0,60.0
54,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม,19,19,0,0,0,11,-8,19,0.0,0.0,57.89473684210527,42.10526315789473
