year,positive,negative
2554,2.0,0.0
2555,5.0,-3.0
2557,10.0,-2.0
2558,22.0,0.0
2559,9.0,0.0
2560,9.0,0.0
2561,7.0,0.0
2562,17.0,-6.0
2563,1.0,0.0
2556,0.0,-5.0
2564,0.0,-1.0
2565,0.0,-1.0
