date_time,title,link,person,groups,sub_categories,categories,score,year,month
2019-02-08 14:47:00,“ไพบูลย์” ร้อง กกต.สั่ง ทษช.ระงับใช้พระนามทูลกระหม่อมฯ หวั่นผิด กม.หาเสียง,https://mgronline.com/politics/detail/9620000013816,"ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,คณะกรรมการการเลือกตั้ง,ไพบูลย์ นิติตะวัน,พรรคไทยรักษาชาติ,","สมาชิกราชวงศ์จักรี,กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","วัง,สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,2
2019-02-08 12:50:00,เผยลายพระหัตถ์ “ทูลกระหม่อมฯ” ตอบรับเสนอพระนามเป็นนายกฯ,https://mgronline.com/politics/detail/9620000013753,"ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",-1.0,2019,2
2019-02-08 10:24:00,ด่วน! ทษช.เสนอชื่อ “ทูลกระหม่อมหญิงอุบลรัตนฯ” แคนดิเดตนายกฯ,https://mgronline.com/politics/detail/9620000013681,"ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,พรรคไทยรักษาชาติ,","สมาชิกราชวงศ์จักรี,พรรคการเมือง,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,2
2019-02-08 10:00:00,“ปรีชาพล” เผยทูลกระหม่อมฯ ทรงมีพระเมตตาตอบรับเป็นแคนดิเดตนายกฯ ยันไม่ใช่รัฐบาลแห่งชาติ,https://mgronline.com/politics/detail/9620000013693,"ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",-1.0,2019,2
2019-01-23 15:29:00,“สมเด็จพระเทพฯ” เสด็จเป็นองค์ประธานประชุมจัดงานพระราชพิธีบรมราชาภิเษก 26 ม.ค.,https://mgronline.com/politics/detail/9620000007951,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,1
2019-01-10 17:11:00,รัฐบาลกราบทูลเชิญ “สมเด็จพระเทพฯ” เป็นองค์ ปธ.ประชุมเตรียมพระราชพิธี 26 ม.ค. เริ่มพิธี เม.ย.,https://mgronline.com/politics/detail/9620000003441,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,1
2019-01-04 13:26:00,รัฐบาลทูลเชิญ “สมเด็จพระเทพฯ” เป็นองค์ประธานจัดพระราชพิธี - “บิ๊กตู่” ถกฝ่ายเกี่ยวข้องสัปดาห์หน้า,https://mgronline.com/politics/detail/9620000001132,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,พลเอก ประยุทธ์ จันทร์โอชา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,1
2019-01-02 15:25:00,รัฐบาลเตรียมทูลเชิญ “สมเด็จพระเทพฯ” เป็นองค์ประธานจัดงานพระราชพิธีบรมราชาภิเษก,https://mgronline.com/politics/detail/9620000000424,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,1
2018-12-27 11:21:00,“บิ๊กตู่” นำ ครม.-ผบ.เหล่าทัพอวยพรปีใหม่ “ป๋าเปรม” เน้นย้ำมองผู้เห็นต่างเป็นมิตรอย่าเป็นศัตรู,https://mgronline.com/politics/detail/9610000128424,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2018,12
2018-12-20 12:24:00,“ป๋าเปรม” เปิดบ้านรับนายกฯ-ผบ.เหล่าทัพ อวยพรปีใหม่ 27 ธ.ค.เผยห่วงหลังเลือกตั้ง,https://mgronline.com/politics/detail/9610000126042,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2018,12
2018-09-06 19:27:00,รบ.เผย ในหลวงร.10 พระราชทาน เครื่องราชอิสริยาภรณ์ ต่างชาติ-คนไทย ช่วยหมูป่า,https://mgronline.com/politics/detail/9610000089547,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2018,9
2018-07-10 18:32:00,“ประยุทธ์” ขอพรสิ่งศักดิ์สิทธิ์คู่บ้านคู่เมือง และพระบารมี ร.๑๐ ให้ผ่านปัญหาทุกอย่าง,https://mgronline.com/politics/detail/9610000068722,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประยุทธ์ จันทร์โอชา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2018,7
2018-04-11 12:51:00,“ป๋าเปรม” ให้พรนายกฯ เป็นเสาหลักบ้านเมือง บริหารบ้านเมืองสำเร็จ,https://mgronline.com/politics/detail/9610000036022,"พลเอก เปรม ติณสูลานนท์,","ประธานคณะองคมนตรี,","องคมนตรี,","วัง & องคมนตรี,",1.0,2018,4
2018-04-03 11:14:00,“สุรยุทธ์” ชี้เช็คโจมตี “ป๋าเปรม” เรื่องเก่า-ทส.แจงเคลียร์แล้ว,https://mgronline.com/politics/detail/9610000032958,"พลเอก เปรม ติณสูลานนท์,พลเอก สุรยุทธ์ จุลานนท์,","ประธานคณะองคมนตรี,ประธานคณะองคมนตรี,","องคมนตรี,องคมนตรี,","วัง & องคมนตรี,วัง & องคมนตรี,",1.0,2018,4
2018-01-07 16:12:00,ร.๑๐ โปรดเกล้าฯ จัดงาน “อุ่นไอรัก คลายความหนาว” น้อมรำลึกถึงราชวงศ์จักรี,https://mgronline.com/politics/detail/9610000001812,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2018,1
