date_time,title,link,person,groups,sub_categories,categories,score,year,month
2012-11-30 13:57:00,ปชป.จี้ “บุญทรง” แจงเช็ค “สยามอินดิก้า-ไอ้ปาล์ม” ยื่น ป.ป.ช.ฟัน “ปู” สมรู้ร่วมคิด,https://mgronline.com/politics/detail/9550000146134,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
2012-11-28 14:48:00,“มาร์ค” สั่งลูกทีมบี้ต่อ “ปู-3 รมต.” ชง ป.ป.ช.-ผู้ตรวจการฯ ฟัน,https://mgronline.com/politics/detail/9550000145207,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,อภิสิทธิ์ เวชชาชีวะ,","ป.ป.ช.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
2012-11-28 02:21:00,“คำนูณ” ชี้ข้อมูลฝ่ายค้านมัดแน่นรัฐโกงจีทูจี แนะประชาชนร้อง ป.ป.ช.ฟัน,https://mgronline.com/politics/detail/9550000144983,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,คำนูณ สิทธิสมาน,","ป.ป.ช.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
2012-11-14 19:56:00,พท.ฟ้อง ป.ป.ช.ฟันผู้ว่าฯ กทม.โกงสนามฟุตซอลโลก,https://mgronline.com/politics/detail/9550000139105,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,11
2012-10-09 18:39:00,ป.ป.ช.เตรียมฟ้องศาลเองคดีตำรวจสลายพันธมิตรฯ 7 ตุลา 51,https://mgronline.com/politics/detail/9550000123931,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ป.ป.ช.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",-1.0,2012,10
2012-10-08 17:10:00,“จิรายุ” ขู่ ปชป.อย่ากดดันดีเอสไอ-ป.ป.ช. ปม กทม.ต่อสัญญาบีทีเอส ซัดเลี่ยง กม.ส่อโกง,https://mgronline.com/politics/detail/9550000123364,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,จิรายุ ห่วงทรัพย์,พรรคประชาธิปัตย์,","ป.ป.ช.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,10
2012-09-17 13:37:00,ปชป.จ่อนำผลผู้ตรวจฯ ยื่น ป.ป.ช.ฟัน “ปึ้ง-ปู” ซ้ำ - แย้มส่งข้อมูลฆ่าตัดตอนศาลโลกเพิ่ม,https://mgronline.com/politics/detail/9550000114364,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,9
2012-09-05 14:39:00,ป.ป.ช.ขอข้อมูล TDRI สอบทุจริตจำนำข้าวทำเจ๊งแสนล้าน ถึงมือชาวนาแค่ 37%,https://mgronline.com/politics/detail/9550000109329,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ป.ป.ช.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",-1.0,2012,9
2012-08-28 15:27:00,ป.ป.ช.ยกคำร้อง “ทักษิณ-สุริยะ” ทุจริต CTX 9000 เล็งฟัน 6 บอร์ด บทม.รับสินบน,https://mgronline.com/politics/detail/9550000105760,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ป.ป.ช.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",1.0,2012,8
2012-08-26 18:56:00,กกต.ชิ่ง! อ้างไม่ใช่ช่วงเลือกตั้ง ไร้อำนาจฟันแดงป่วน ปชป.โยนฟ้อง ตร.จัดการ,https://mgronline.com/politics/detail/9550000104981,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,8
