person,count
ชัย ชิดชอบ,10
ชัยวุฒิ ธนาคมานุสรณ์,6
พลเอก ประยุทธ์ จันทร์โอชา,3
พรรคภูมิใจไทย,3
พรรคเพื่อไทย,2
อนุทิน ชาญวีรกูล,2
พรรคประชาธิปัตย์,2
ธนกร วังบุญคงชนะ,1
พลเอก ประวิตร วงษ์สุวรรณ,1
เฉลิมชัย ศรีอ่อน,1
พลอากาศตรี เฉลิมชัย เครืองาม,1
ชวน หลีกภัย,1
สมพงษ์ อมรวิวัฒน์,1
พรรคพลังประชารัฐ,1
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,1
