,date_time,title,link,person,groups,sub_categories,categories,score,year,month
2676,2014-02-18 13:17:00,กกต.ไม่หวั่น พท.ฟ้อง ม.157 ยันทำตามใจไม่ได้ รับเลือกตั้ง 2 มี.ค.เขตปัญหาไม่ทัน,https://mgronline.com/politics/detail/9570000019158,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,2
2678,2014-02-17 18:04:00,เพื่อไทยอวดเบ่ง ขีดเส้น 4 มีนาฯ ต้องเปิดประชุมสภาฯ จี้ กกต. จัดเลือกตั้งเร็วๆ ขู่อาจมีติดคุก,https://mgronline.com/politics/detail/9570000018872,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2014,2
2690,2014-02-09 14:36:00,"พท.ชี้กกต.ลวงรัฐทำผิดให้ออก พ.ร.ฎ.เลือกตั้งใหม่ ฉะ ""กำนัน"" เล่นละครช่วยชาวนา",https://mgronline.com/politics/detail/9570000015558,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2014,2
2691,2014-02-08 16:17:00,ปชป.เตือนรัฐบาลออก พ.ร.ฎ.เลือกตั้งใหม่ตามข้อเสนอ กกต.ผิด รธน.มาตรา 108,https://mgronline.com/politics/detail/9570000015364,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,2
2692,2014-02-08 13:00:00,พท.โวย กกต.รับลูกรัฐบุคคล วางกับดักให้รัฐบาลออก พ.ร.ฎ.ใหม่หวังยื้อเลือกตั้ง,https://mgronline.com/politics/detail/9570000015324,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,2
2697,2014-02-05 12:17:00,พท.ชง กกต.สอบ ปชป.ขัด ม.68 หนุนม็อบ-ล้มรัฐ ย้อนปัญหาไม่รับกติกาอ้างปฏิรูป,https://mgronline.com/politics/detail/9570000013981,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2014,2
2701,2014-02-03 12:23:00,ปชป.จี้ กกต.วินิจฉัยทางออก ยันเลือกตั้งไม่ตอบโจทย์ ปูด “โกตี๋” หนีซุกเขมร,https://mgronline.com/politics/detail/9570000013078,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,2
2709,2014-01-28 14:17:00,ป.ป.ช.เพิ่มแสงไฟ หลังมีการลอบใช้ที่ป่วน คปท.-เพื่อแม้ว ยื่น กกต.ยุบ ปชป.ขวางเลือกตั้ง,https://mgronline.com/politics/detail/9570000010661,"คณะกรรมการการเลือกตั้ง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคประชาธิปัตย์,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","กกต.,ป.ป.ช.,พรรคการเมือง,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายองค์กรอิสระ,สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2014,1
2712,2014-01-28 00:53:00,กกต.เผยหลายพรรคเห็นพ้องปมโหวตต่อ มีแค่ พท.-ปธม.-ชูวิทย์ ดื้อเลือกตั้ง ยันมีแนวทางคุย “ปู” แล้ว,https://mgronline.com/politics/detail/9570000010416,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,1
2714,2014-01-26 13:29:00,ปชป.ไล่ “ปู” เลิกพักผ่อนคุย กกต.จี้ รับผิดชอบมีเผชิญหน้า ชำแหละเหตุไม่เลื่อนเลือกตั้ง,https://mgronline.com/politics/detail/9570000009750,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,1
