,date_time,title,link,person,groups,sub_categories,categories,score,year,month
3394,2012-12-23 13:59:00,ปชป.จับตาเล่ห์ “แม้ว” หลังโวประชามติหมูๆ ซัด รบ.ปาก ปชต.ใจเผด็จการ จ้องแต่ล้างผิด,https://mgronline.com/politics/detail/9550000155404,"พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,12
3396,2012-12-22 15:08:00,พท.อ้างไม่มีหมกเม็ดแก้ รธน.ช่วย “นช.แม้ว” นัด 24 ม.ค.ถกลุยประชามติ,https://mgronline.com/politics/detail/9550000155165,"พรรคเพื่อไทย,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,12
3409,2012-12-11 16:08:00,ปชป.ชู “มาร์ค” แจงบีบีซีสลายแดงชัด-ท้า “แม้ว” ฟ้องกลับหมิ่นสถาบัน ชี้ รบ.ขี้ข้าให้จ้อทีวีรัฐ,https://mgronline.com/politics/detail/9550000150388,"อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,12
3434,2012-11-26 22:40:00,“เพื่อแม้ว” โดดป้อง “ปู” ขู่ถอดถอนฝ่ายค้านซักฟอกโกงเกินประเด็น,https://mgronline.com/politics/detail/9550000144414,"พรรคเพื่อไทย,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,11
3437,2012-11-25 03:18:00,“เพื่อแม้ว” เย้ยเสธ.อ้ายจุดไฟไม่ติด เชื่อ รบ.ทางสะดวกไร้ม็อบอีกนาน,https://mgronline.com/politics/detail/9550000143708,"พรรคเพื่อไทย,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,11
3441,2012-11-23 14:37:00,ปชป.ชี้ รบ.ใช้ พ.ร.บ.แยก ปชช. ซัด “แม้ว” วัดม็อบจากเงิน - “เหลิม” ดึงสถาบัน จี้สอบแดงขู่เผาซ้ำ,https://mgronline.com/politics/detail/9550000143228,"พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
3449,2012-11-19 16:04:00,ปชป.ชี้ “รัฐบาล-แม้ว” ผวาม็อบ “เสธ.อ้าย” หลอกใช้เสื้อแดงสู้ ป้ายสีคน 3 กลุ่ม,https://mgronline.com/politics/detail/9550000141233,"พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
3457,2012-11-14 16:07:00,ปชป.เอาคืน! “วัชระ” ยื่นผู้ตรวจฯ สอบ “ปู-เหลิม” ละเลยถอดยศ “นช.แม้ว”,https://mgronline.com/politics/detail/9550000139180,"พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
3473,2012-11-05 14:00:00,“มาร์ค” เตือน “อดุลย์-ปู” ไม่แจ้งจับ “นช.แม้ว” ผิด กม. ยันม็อบเสธ.อ้ายไม่เกี่ยว ปชป.,https://mgronline.com/politics/detail/9550000135147,"อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
3478,2012-10-29 13:19:00,ปชป.ชี้ปรับ ครม.ชัด “แม้ว” เลือก ยันเด็กไม่หวั่นไหว “ยุทธพงศ์” ไปแล้วได้ดี,https://mgronline.com/politics/detail/9550000131971,"ยุทธพงศ์ จรัสเสถียร,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,10
