,date_time,title,link,person,groups,sub_categories,categories,score,year,month
260,2022-07-27 14:52:00,“จุติ” บอก เก็บไว้ในใจ ปม 3 ส.ส.ชทพ.โหวตสวน “จุรินทร์”,https://mgronline.com/politics/detail/9650000071609,"จุรินทร์ ลักษณวิศิษฏ์,จุติ ไกรฤกษ์,จุรินทร์ ลักษณวิศิษฏ์,จุติ ไกรฤกษ์,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
3563,2012-09-06 10:51:00,ปชป.ส่ง “จุติ” ยื่นหนังสือ “ปู” หยุดจำนำข้าว หลังทำพังแล้วแสนล้าน,https://mgronline.com/politics/detail/9550000109702,"จุติ ไกรฤกษ์,จุติ ไกรฤกษ์,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,9
4179,2011-09-06 16:55:00,ปชป.คลอด ครม.เงา “มาร์ค” คุม กห.“เทือก” นั่ง มท.“จุติ” รั้งคลัง,https://mgronline.com/politics/detail/9540000112841,"จุติ ไกรฤกษ์,อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2011,9
