,date_time,title,link,person,groups,sub_categories,categories,score,year,month
1855,2019-01-23 15:29:00,“สมเด็จพระเทพฯ” เสด็จเป็นองค์ประธานประชุมจัดงานพระราชพิธีบรมราชาภิเษก 26 ม.ค.,https://mgronline.com/politics/detail/9620000007951,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,1
1869,2019-01-10 17:11:00,รัฐบาลกราบทูลเชิญ “สมเด็จพระเทพฯ” เป็นองค์ ปธ.ประชุมเตรียมพระราชพิธี 26 ม.ค. เริ่มพิธี เม.ย.,https://mgronline.com/politics/detail/9620000003441,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,1
1872,2019-01-04 13:26:00,รัฐบาลทูลเชิญ “สมเด็จพระเทพฯ” เป็นองค์ประธานจัดพระราชพิธี - “บิ๊กตู่” ถกฝ่ายเกี่ยวข้องสัปดาห์หน้า,https://mgronline.com/politics/detail/9620000001132,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,พลเอก ประยุทธ์ จันทร์โอชา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,1
1873,2019-01-02 15:25:00,รัฐบาลเตรียมทูลเชิญ “สมเด็จพระเทพฯ” เป็นองค์ประธานจัดงานพระราชพิธีบรมราชาภิเษก,https://mgronline.com/politics/detail/9620000000424,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,1
2378,2015-04-02 10:39:00,นายกฯ นำ ครม.ตักบาตรเฉลิมพระเกียรติ “สมเด็จพระเทพฯ”,https://mgronline.com/politics/detail/9580000037991,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,4
