id,groups,sub_categories,categories,person,keyword,count
156,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิรามาน สุไลมาน,นิรามาน,1
168,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ธีรรัตน์ สำเร็จวาณิชย์,ธีรรัตน์,1
173,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จิรวัฒน์ อรัณยกานนท์,จิรวัฒน์,1
175,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ไผ่ ลิกค์,ไผ่,1
176,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พันตำรวจโท ไวพจน์ อาภรณ์รัตน์,ไวพจน์,1
209,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วัฒนา ช่างเหลา,วัฒนา,1
211,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ประเสริฐ จันทรรวงทอง,ประเสริฐ,1
232,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลอากาศตรี เฉลิมชัย เครืองาม,เฉลิมชัย,1
236,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก ปรีชา จันทร์โอชา,ปรีชา,1
242,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,สมชาย แสวงการ,สมชาย,1
267,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรครวมพลัง,"รวมพลัง , รวมพลังประชาชาติไทย , รพปช.",1
271,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรครักษ์ผืนป่าประเทศไทย,รักษ์ผืนป่าประเทศไทย,1
287,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรครวมไทยสร้างชาติ,รวมไทยสร้างชาติ,1
238,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศาสตราจารย์ (พิเศษ) พรเพชร วิชิตชลชัย,พรเพชร,0
9,ผบ. ทบ.,สายทหาร,ตำรวจ & ทหาร,พลเอก อภิรัชต์ คงสมพงษ์,"อภิรัชต์ , พล.อ.อภิรัชต์ , บิ๊กแดง , ลูกบิ๊กจ๊อด",67
20,ผบ. ตร.,สายตำรวจ,ตำรวจ & ทหาร,พลตำรวจเอก จักรทิพย์ ชัยจินดา,"จักรทิพย์ , บิ๊กแป๊ะ",10
17,ผบ. ทอ.,สายทหาร,ตำรวจ & ทหาร,พลอากาศเอก แอร์บูล สุทธิวรรณ,แอร์บูล,2
21,ผบ. ตร.,สายตำรวจ,ตำรวจ & ทหาร,พลตำรวจเอก สุวัฒน์ แจ้งยอดสุข,สุวัฒน์,1
