id,groups,sub_categories,categories,person,keyword,count
114,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ธนกร วังบุญคงชนะ,ธนกร,66
165,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สิระ เจนจาคะ,สิระ,51
94,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ชวน หลีกภัย,"ชวน , ปธ.ชวน",44
35,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์,40
96,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์,40
51,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ร้อยเอก ธรรมนัส พรหมเผ่า,"ธรรมนัส , ผู้กองนัส",39
196,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ร้อยเอก ธรรมนัส พรหมเผ่า,"ธรรมนัส , ผู้กองนัส",39
205,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ร้อยเอก ธรรมนัส พรหมเผ่า,"ธรรมนัส , ผู้กองนัส",39
140,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ปิยบุตร แสงกนกกุล,"ปิยบุตร , กะปิบูด , บูด",34
123,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,"เสรีพิศุทธ์ , ป๊าเสรี , วีรบุรุษนาแก",33
61,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สนธิรัตน์ สนธิจิรวงศ์,สนธิรัตน์,30
275,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเสรีรวมไทย,เสรีรวมไทย,22
41,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อุตตม สาวนายน,อุตตม,20
229,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ปารีณา ไกรคุปต์,ปารีณา,20
54,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม,19
118,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม,19
115,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ไพบูลย์ นิติตะวัน,ไพบูลย์,18
164,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ไพบูลย์ นิติตะวัน,ไพบูลย์,18
216,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุทิน คลังแสง,สุทิน,18
78,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ,16
105,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ,16
79,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พิธา ลิ้มเจริญรัตน์,พิธา,16
141,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พิธา ลิ้มเจริญรัตน์,"พิธา , ทิม",16
279,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคไทยศรีวิไลย์,ไทยศรีวิไลย์,16
284,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเศรษฐกิจไทย,เศรษฐกิจไทย,16
