person,count
สุริยะ จึงรุ่งเรืองกิจ,32
พรรคพลังประชารัฐ,10
พรรคเพื่อไทย,4
นฤมล ภิญโญสินวัฒน์,4
อนุชา นาคาศัย,4
พลเอก ประยุทธ์ จันทร์โอชา,2
สนธิรัตน์ สนธิจิรวงศ์,2
สมศักดิ์ เทพสุทิน,2
อนุทิน ชาญวีรกูล,2
พรรคภูมิใจไทย,2
เทวัญ ลิปตพัลลภ,2
อุตตม สาวนายน,1
พลเอก ประวิตร วงษ์สุวรรณ,1
วิษณุ เครืองาม,1
พรรคประชาธิปัตย์,1
ธนาธร จึงรุ่งเรืองกิจ,1
ปิยบุตร แสงกนกกุล,1
พรรคอนาคตใหม่-พรรคก้าวไกล,1
