year,positive,negative
2554,4.0,-9.0
2555,9.0,-7.0
2556,12.0,-18.0
2557,2.0,-7.0
2560,2.0,-2.0
2561,3.0,-1.0
2562,39.0,-15.0
2563,34.0,-9.0
2564,42.0,-19.0
2565,40.0,-16.0
2558,0.0,-1.0
2559,0.0,-1.0
