year,positive,negative
2554,10.0,-38.0
2555,13.0,-56.0
2556,36.0,-46.0
2557,9.0,-11.0
2558,1.0,-2.0
2559,2.0,0.0
2560,3.0,0.0
2561,6.0,0.0
2562,6.0,-3.0
2564,2.0,-1.0
2565,4.0,-2.0
2563,0.0,-2.0
