year,positive,negative
2554,7.0,-15.0
2555,12.0,-55.0
2556,21.0,-38.0
2557,10.0,-19.0
2558,1.0,-1.0
2559,1.0,-6.0
2560,5.0,-3.0
2561,2.0,-9.0
2562,4.0,-10.0
